epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.901,1.154,2.31881,1.36979,0.0055,0.91667,0.07666,0.03252,2.35575,3.9161,3.08953,0.09604,4e-05,4e-05
2,160.784,0.99686,1.75839,1.26792,0.00822,0.59219,0.10317,0.03372,2.80032,5.11356,3.41404,0.0910891,8.9109e-05,8.9109e-05
3,226.125,0.95139,1.6089,1.23033,0.00698,0.66667,0.06002,0.02833,2.26253,4.0641,2.40124,0.0861372,0.000137228,0.000137228
4,287.994,0.95477,1.31012,1.22392,0.00383,0.63889,0.01651,0.00386,3.14125,4.04699,2.70053,0.0811844,0.000184357,0.000184357
5,356.938,0.95173,1.16246,1.20352,0.00261,0.38889,0.00382,0.00092,3.48077,3.8117,3.3526,0.0762305,0.000230496,0.000230496
6,447.946,0.90893,1.07074,1.16721,0.00448,0.52778,0.0129,0.00301,3.01135,3.54746,3.12232,0.0712756,0.000275645,0.000275645
7,508.031,0.93256,1.0045,1.16567,0.00766,0.88889,0.08121,0.0348,2.09338,3.02707,2.57681,0.0663198,0.000319804,0.000319804
8,565.014,0.86432,0.92378,1.12342,0.00744,0.86111,0.20626,0.13525,1.69457,2.71401,2.03549,0.061363,0.000362973,0.000362973
9,642.083,0.96979,0.9006,1.21759,0.00872,0.83333,0.23038,0.14925,1.39168,2.75675,1.8027,0.0564052,0.000405152,0.000405152
10,708.477,0.88337,0.88834,1.14844,0.82473,0.19444,0.32402,0.18497,1.2107,2.7553,1.64277,0.0514463,0.000446341,0.000446341
11,778.141,0.80048,0.77157,1.09257,0.83305,0.55446,0.67579,0.46868,1.10114,2.17373,1.50763,0.0464865,0.00048654,0.00048654
12,834.368,0.84991,0.79746,1.15155,0.95592,0.60269,0.74977,0.5322,1.11065,1.46703,1.47637,0.0415257,0.000525749,0.000525749
13,905.606,0.93259,0.81655,1.24887,0.84436,0.75359,0.80478,0.6287,1.0558,1.32448,1.416,0.036564,0.000563968,0.000563968
14,967.843,0.93423,0.79322,1.23803,0.85352,0.80939,0.85023,0.65703,1.06653,1.37893,1.35465,0.0316012,0.000601197,0.000601197
15,1029.62,0.81246,0.73541,1.11588,0.95265,0.80556,0.90217,0.67366,0.98477,1.13173,1.313,0.0266374,0.000637436,0.000637436
16,1100.09,0.85902,0.80714,1.14032,0.93456,0.83333,0.8977,0.68486,0.90245,1.07765,1.24707,0.0216727,0.000672685,0.000672685
