epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.827,2.06589,4.52067,1.77747,0.00128,0.09615,0.00177,0.00069,2.24374,4.53343,2.53146,0.09604,4e-05,4e-05
2,193.64,1.99071,4.27686,1.72634,0.00183,0.14231,0.00229,0.00075,2.51044,4.40752,2.97306,0.0910891,8.9109e-05,8.9109e-05
3,306.21,1.94234,3.91773,1.73174,0.0018,0.14872,0.00578,0.00201,2.5698,4.32319,2.9559,0.0861372,0.000137228,0.000137228
4,436.242,1.90003,3.84531,1.69349,0.00156,0.12308,0.01128,0.00254,2.693,4.4353,3.16584,0.0811844,0.000184357,0.000184357
5,593.446,1.74493,3.69265,1.59908,0.00157,0.12308,0.00499,0.00173,2.60786,4.48251,3.09764,0.0762305,0.000230496,0.000230496
6,758.027,1.80118,3.63364,1.6106,0.00161,0.12308,0.00844,0.00234,2.45559,4.40565,2.95302,0.0712756,0.000275645,0.000275645
7,896.111,1.77504,3.4678,1.56056,0.00221,0.16154,0.00601,0.00224,2.42204,4.32141,2.70288,0.0663198,0.000319804,0.000319804
8,1023.38,1.72895,3.51702,1.63646,0.00276,0.13718,0.00776,0.00246,2.48201,4.27504,2.71172,0.061363,0.000362973,0.000362973
9,1139.43,1.69833,3.39388,1.55927,0.00058,0.07692,0.00457,0.00079,2.68798,4.30025,2.62189,0.0564052,0.000405152,0.000405152
10,1268.25,1.75042,3.20491,1.54501,0.00071,0.08333,0.00783,0.00174,2.64404,4.30677,2.61223,0.0514463,0.000446341,0.000446341
11,1352.86,1.74654,3.33425,1.56815,0.00103,0.12179,0.0075,0.00206,2.43901,4.1391,2.33236,0.0464865,0.00048654,0.00048654
12,1428.17,1.68258,2.95489,1.50392,0.01205,0.20769,0.05655,0.0222,2.33055,3.87422,2.15063,0.0415257,0.000525749,0.000525749
13,1508.65,1.67746,3.06358,1.53311,0.00817,0.19872,0.07366,0.03141,2.26935,3.91624,2.0967,0.036564,0.000563968,0.000563968
14,1559.67,1.72463,2.94392,1.49073,0.01224,0.23462,0.08068,0.04038,2.25527,3.86985,2.02297,0.0316012,0.000601197,0.000601197
15,1609.19,1.6004,2.80249,1.49796,0.36385,0.10811,0.08998,0.03964,2.22416,3.79643,2.02747,0.0266374,0.000637436,0.000637436
16,1662.44,1.6469,2.75462,1.46999,0.49856,0.05472,0.08499,0.03701,2.2935,3.76891,2.11346,0.0216727,0.000672685,0.000672685
17,1716.39,1.61779,2.87058,1.47676,0.63569,0.04935,0.06974,0.03464,2.55234,3.77514,2.36006,0.0167069,0.000706944,0.000706944
18,1761.23,1.63979,2.71234,1.47669,0.62818,0.0486,0.07767,0.03795,2.59448,3.78276,2.3271,0.0117402,0.000740213,0.000740213
19,1822.58,1.61917,2.70008,1.45173,0.67009,0.06182,0.09341,0.03649,2.82178,3.66386,2.56807,0.00677249,0.000772492,0.000772492
20,1860.02,1.53908,2.74828,1.51784,0.56055,0.11383,0.12675,0.03772,2.54924,3.5853,2.38922,0.00180378,0.000803781,0.000803781
21,1906.66,1.541,2.72077,1.47254,0.73361,0.07038,0.13607,0.0449,2.40014,3.74536,2.29354,0.000802,0.000802,0.000802
